id,group,treatment,rating_cheap,rating_medium,rating_expensive,quiz_score,zip_code,age,gender,...other covariates...
1,t08,1,4,5,3,7,93001,Male,31,...
2,t08,1,3,5,3,6,93001,Male,31,...
3,t08,1,2,4,3,7,93001,Female,31,...
4,t08,1,5,3,3,6,93001,Male,31,...
5,t08,1,1,4,3,6,93001,Female,31,...
6,t08,1,3,1,2,1,93003,Male,31,...
7,t08,1,5,2,3,6,93003,Male,47,...
8,t08,1,5,3,3,3,93003,Male,37,...
9,t08,1,1,4,3,1,93003,Female,46,...
10,t08,1,3,1,2,8,93003,Male,24,...
11,c04,0,2,5,3,7,93003,Female,28,...
12,c04,0,5,3,3,8,93004,Male,18,...
13,c04,0,4,2,3,10,93004,Female,37,...
14,c04,0,3,5,3,7,93004,Female,59,...
15,c04,0,4,1,3,7,93004,Male,23,...
16,c04,0,1,3,2,6,93004,Female,22,...
17,c04,0,2,5,3,7,93004,Male,21,...
18,c04,0,3,5,3,6,93010,Female,26,...
19,c04,0,4,1,3,6,93010,Male,31,...
20,c04,0,5,3,3,1,93010,Male,35,...
21,t05,1,3,4,2,6,93010,Male,37,...
22,t05,1,3,3,5,3,93010,Female,26,...
23,t05,1,3,4,1,1,93010,Male,31,...
24,t05,1,2,1,3,8,93012,Female,47,...
25,t05,1,3,2,5,7,93012,Male,37,...
26,t05,1,3,3,5,8,93012,Female,46,...
27,t05,1,3,4,1,10,93012,Male,24,...
28,t05,1,3,2,3,7,93012,Male,28,...
29,t05,1,2,3,2,7,93012,Female,18,...
30,t05,1,5,5,4,6,93013,Male,37,...
31,c05,0,2,3,3,7,93013,Female,59,...
32,c05,0,4,1,5,6,93013,Male,23,...
33,c05,0,2,3,1,6,93013,Female,22,...
34,c05,0,2,5,2,1,93013,Female,21,...
35,c05,0,4,2,3,6,93013,Male,26,...
36,c05,0,3,3,5,3,93015,Female,31,...
37,c05,0,3,4,1,1,93015,Male,35,...
38,c05,0,3,2,3,8,93015,Female,37,...
39,c05,0,2,3,2,7,93015,Male,26,...
40,c05,0,5,5,4,8,93015,Male,59,...
41,t01,1,3,2,3,10,93015,Female,25,...
42,t01,1,5,4,1,7,93021,Male,22,...
43,t01,1,1,2,3,7,93021,Male,21,...
44,t01,1,2,2,5,6,93021,Female,26,...
45,t01,1,3,4,2,7,93021,Male,31,...
46,t01,1,1,3,4,6,93021,Female,35,...
47,t01,1,3,2,1,6,93021,Male,37,...
48,t01,1,5,3,2,1,93022,Male,26,...
49,t01,1,5,3,3,6,93022,Male,59,...
50,t01,1,1,3,4,3,93022,Female,25,...
51,c12,0,1,2,3,1,93022,Male,22,...
52,c12,0,2,3,5,8,93022,Female,21,...
53,c12,0,5,3,3,7,93022,Male,26,...
54,c12,0,4,3,2,8,93023,Female,31,...
55,c12,0,3,3,5,10,93023,Female,35,...
56,c12,0,4,3,1,7,93023,Male,37,...
57,c12,0,1,2,3,7,93023,Female,26,...
58,c12,0,2,3,5,6,93023,Male,59,...
59,c12,0,3,3,5,7,93023,Female,25,...
60,c12,0,2,3,5,6,93030,Male,22,...
61,c02,0,3,5,3,6,93030,Male,21,...
62,c02,0,2,4,3,1,93030,Male,26,...
63,c02,0,5,3,3,6,93030,Female,31,...
64,c02,0,1,4,3,3,93030,Male,35,...
65,c02,0,3,1,2,1,93030,Female,37,...
